symbol,open_time,close_time,direction,confidence,entry,sl,tp,sl_pips,tp_pips,outcome,pnl_pips
EURJPYm,2024-08-01 20:00:00,2024-08-05 04:00:00,SELL,0.7972,160.93785,164.81492,155.12224,387.7,581.6,TP,581.6
EURJPYm,2024-08-02 00:00:00,2024-08-05 04:00:00,SELL,0.8076,161.33785,165.23421,155.49331,389.6,584.5,TP,584.5
EURJPYm,2024-08-02 04:00:00,2024-08-05 04:00:00,SELL,0.8527,161.19785,165.14435,155.2781,394.7,592.0,TP,592.0
EURJPYm,2024-08-02 08:00:00,2024-08-05 04:00:00,SELL,0.7601,161.38485,164.97349,156.00189,358.9,538.3,TP,538.3
EURJPYm,2024-08-02 12:00:00,2024-08-05 04:00:00,SELL,0.8219,160.39285,163.62428,155.54571,323.1,484.7,TP,484.7
EURJPYm,2024-08-02 16:00:00,2024-08-05 04:00:00,SELL,0.7647,159.95085,163.15142,155.14999,320.1,480.1,TP,480.1
EURJPYm,2024-08-02 20:00:00,2024-08-05 04:00:00,SELL,0.6396,159.84085,162.90599,155.24314,306.5,459.8,TP,459.8
EURJPYm,2024-08-04 20:00:00,2024-08-12 12:00:00,SELL,0.6934,158.83985,161.92192,154.21674,308.2,462.3,SL,-308.2
EURJPYm,2024-08-06 00:00:00,2024-10-23 04:00:00,SELL,0.6257,159.21385,164.08156,151.91228,486.8,730.2,SL,-486.8
EURJPYm,2024-08-06 04:00:00,2024-08-15 20:00:00,SELL,0.5905,158.75585,163.74121,151.27781,498.5,747.8,SL,-498.5
EURJPYm,2024-08-07 04:00:00,2024-10-28 00:00:00,SELL,0.6981,160.20585,165.77921,151.84581,557.3,836.0,SL,-557.3
EURJPYm,2024-08-07 12:00:00,2024-10-28 00:00:00,SELL,0.7025,161.04085,166.00092,153.60074,496.0,744.0,SL,-496.0
EURJPYm,2024-08-07 16:00:00,2024-10-27 20:00:00,SELL,0.6519,160.38985,165.11849,153.29689,472.9,709.3,SL,-472.9
EURJPYm,2024-08-15 16:00:00,2024-08-19 04:00:00,SELL,0.6463,163.53885,165.48756,160.61578,194.9,292.3,TP,292.3
EURJPYm,2024-08-15 20:00:00,2024-08-19 04:00:00,SELL,0.693,163.73085,165.60285,160.92285,187.2,280.8,TP,280.8
EURJPYm,2024-08-16 00:00:00,2024-08-19 04:00:00,SELL,0.8177,163.47985,165.31135,160.7326,183.2,274.7,TP,274.7
EURJPYm,2024-08-16 04:00:00,2024-08-19 04:00:00,SELL,0.748,163.68285,165.49999,160.95714,181.7,272.6,TP,272.6
EURJPYm,2024-08-16 08:00:00,2024-08-29 08:00:00,SELL,0.7289,162.72585,164.51428,160.04321,178.8,268.3,TP,268.3
EURJPYm,2024-08-16 12:00:00,2024-08-29 08:00:00,SELL,0.6,162.87785,164.61699,160.26914,173.9,260.9,TP,260.9
EURJPYm,2024-08-18 20:00:00,2024-08-19 04:00:00,SELL,0.5916,163.11885,164.67071,160.79106,155.2,232.8,TP,232.8
EURJPYm,2024-09-05 20:00:00,2024-09-11 00:00:00,SELL,0.5926,159.30985,161.21249,156.45589,190.3,285.4,TP,285.4
EURJPYm,2024-09-06 00:00:00,2024-09-11 00:00:00,SELL,0.7133,158.97785,160.88606,156.11553,190.8,286.2,TP,286.2
EURJPYm,2024-09-06 04:00:00,2024-09-16 04:00:00,SELL,0.6845,158.41885,160.43828,155.38971,201.9,302.9,TP,302.9
EURJPYm,2024-09-06 08:00:00,2024-09-11 04:00:00,SELL,0.6146,158.88685,160.85849,155.92939,197.2,295.7,TP,295.7
EURJPYm,2024-09-13 12:00:00,2024-09-17 16:00:00,SELL,0.5571,155.91585,158.04221,152.72631,212.6,319.0,SL,-212.6
EURJPYm,2024-09-27 00:00:00,2024-09-27 04:00:00,SELL,0.692,162.22585,164.12528,159.37671,189.9,284.9,TP,284.9
EURJPYm,2024-09-27 04:00:00,2024-10-02 20:00:00,SELL,0.5673,159.41285,162.20242,155.22849,279.0,418.4,SL,-279.0
EURJPYm,2024-10-01 04:00:00,2024-10-04 16:00:00,SELL,0.5748,160.24285,163.27349,155.69689,303.1,454.6,SL,-303.1
EURJPYm,2024-10-08 12:00:00,2024-10-27 20:00:00,BUY,0.5956,162.60115,160.85708,165.21726,174.4,261.6,TP,261.6
EURJPYm,2024-10-09 00:00:00,2024-10-23 12:00:00,BUY,0.5553,162.66615,161.14965,164.9409,151.7,227.5,TP,227.5
EURJPYm,2024-10-20 20:00:00,2024-10-23 04:00:00,BUY,0.725,162.58215,161.45994,164.26547,112.2,168.3,TP,168.3
EURJPYm,2024-10-21 00:00:00,2024-10-23 00:00:00,BUY,0.5859,162.14715,160.94715,163.94715,120.0,180.0,TP,180.0
EURJPYm,2024-10-27 20:00:00,2024-11-08 12:00:00,BUY,0.6009,165.11715,163.71101,167.22636,140.6,210.9,SL,-140.6
EURJPYm,2024-10-31 20:00:00,2024-11-08 16:00:00,BUY,0.5609,165.41315,163.55422,168.20154,185.9,278.8,SL,-185.9
EURJPYm,2024-12-16 20:00:00,2024-12-19 08:00:00,SELL,0.6166,162.05585,163.58949,159.75539,153.4,230.0,SL,-153.4
EURJPYm,2024-12-17 00:00:00,2024-12-19 08:00:00,SELL,0.6523,161.92885,163.55871,159.48406,163.0,244.5,SL,-163.0
EURJPYm,2025-01-15 08:00:00,2025-01-24 08:00:00,SELL,0.5978,161.73685,163.61892,158.91374,188.2,282.3,SL,-188.2
EURJPYm,2025-02-12 20:00:00,2025-02-20 00:00:00,SELL,0.6401,160.27985,162.17006,157.44453,189.0,283.5,TP,283.5
EURJPYm,2025-02-13 00:00:00,2025-02-19 12:00:00,SELL,0.7482,160.70285,162.62114,157.82542,191.8,287.7,TP,287.7
EURJPYm,2025-02-13 04:00:00,2025-02-19 12:00:00,SELL,0.5882,160.83585,162.78756,157.90828,195.2,292.8,TP,292.8
EURJPYm,2025-02-13 08:00:00,2025-02-20 00:00:00,SELL,0.7065,160.03785,162.13785,156.88785,210.0,315.0,TP,315.0
EURJPYm,2025-03-20 12:00:00,2025-04-04 12:00:00,BUY,0.5691,161.45215,159.34079,164.61919,211.1,316.7,SL,-211.1
EURJPYm,2025-03-23 20:00:00,2025-04-02 20:00:00,BUY,0.5621,162.16515,160.51408,164.64176,165.1,247.7,SL,-165.1
EURJPYm,2025-04-07 00:00:00,2025-06-10 16:00:00,BUY,0.56,160.18015,156.54929,165.62644,363.1,544.6,TP,544.6
EURJPYm,2025-04-07 04:00:00,2025-06-11 08:00:00,BUY,0.615,160.37215,156.70358,165.87501,366.9,550.3,TP,550.3
EURJPYm,2025-04-07 08:00:00,2025-06-11 08:00:00,BUY,0.616,160.56015,156.91901,166.02186,364.1,546.2,TP,546.2
EURJPYm,2025-04-07 12:00:00,2025-06-16 04:00:00,BUY,0.7081,161.44315,157.72272,167.02379,372.0,558.1,TP,558.1
EURJPYm,2025-04-09 04:00:00,2025-05-12 12:00:00,BUY,0.6256,160.29615,157.32936,164.74633,296.7,445.0,TP,445.0
